<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01.09.2020,11:19:00,110738,115296,107902,113241,91
01.09.2020,11:20:00,112282,114851,107954,110097,40
01.09.2020,11:21:00,110947,115114,107942,110087,24
01.09.2020,11:22:00,114930,115218,107942,107960,29
01.09.2020,11:23:00,111837,115294,107906,114537,36
01.09.2020,11:24:00,108600,115282,107911,114621,2
01.09.2020,11:25:00,108246,115264,107952,114342,62
01.09.2020,11:26:00,109658,115293,108147,110265,78
01.09.2020,11:27:00,110914,115091,108013,110682,13
01.09.2020,11:28:00,112030,115240,108054,110671,91
01.09.2020,11:29:00,111542,115110,107919,114463,8
01.09.2020,11:30:00,110015,114816,107902,113086,82
01.09.2020,11:31:00,114309,115265,108148,109091,61
01.09.2020,11:32:00,110228,115118,108312,110441,59
01.09.2020,11:33:00,112993,115264,107914,113935,3
01.09.2020,11:34:00,114125,115132,108201,113915,64
01.09.2020,11:35:00,110169,115205,108195,109183,97
01.09.2020,11:36:00,109058,115234,107924,110419,73
01.09.2020,11:37:00,109514,115274,108302,114995,26
01.09.2020,11:38:00,111726,115113,108029,114382,40
01.09.2020,11:39:00,111222,115217,108207,109258,29
01.09.2020,11:40:00,108541,115292,107982,108409,63
01.09.2020,11:41:00,110781,115162,108084,109031,9
01.09.2020,11:42:00,113148,115148,108017,112268,16
01.09.2020,11:43:00,113243,114536,108353,110721,47
01.09.2020,11:44:00,108775,114784,107907,109532,38
01.09.2020,11:45:00,114979,115217,107912,108159,35
01.09.2020,11:46:00,114260,115299,108027,108570,5
01.09.2020,11:47:00,111143,115299,108032,112689,14
01.09.2020,11:48:00,112849,115193,108175,113149,92
01.09.2020,11:49:00,110219,115297,107926,107967,93
01.09.2020,11:50:00,109399,115005,107923,114776,71
01.09.2020,11:51:00,111774,115256,107999,114356,26
01.09.2020,11:52:00,113915,115298,107951,112259,21
01.09.2020,11:53:00,108278,115228,108181,109061,98
01.09.2020,11:54:00,108559,115231,107951,114363,18
01.09.2020,11:55:00,112601,115279,107918,111801,63
01.09.2020,11:56:00,112520,115282,107911,114151,11
01.09.2020,11:57:00,111910,115294,107979,115294,16
01.09.2020,11:58:00,111873,115270,107923,110827,4
01.09.2020,11:59:00,111331,115068,108085,108707,60
01.09.2020,12:00:00,115115,115115,107977,111048,35
01.09.2020,12:01:00,108236,115298,107941,115024,3
01.09.2020,12:02:00,110034,115136,108282,114803,76
01.09.2020,12:03:00,112353,115287,108024,112179,72
01.09.2020,12:04:00,111943,115285,107973,110383,27
01.09.2020,12:05:00,112150,115250,108194,110669,94
01.09.2020,12:06:00,108349,115196,107988,109907,54
01.09.2020,12:07:00,108282,115246,108036,110318,12
01.09.2020,12:08:00,112529,115295,108472,112220,50
01.09.2020,12:09:00,113869,114914,107904,109345,41
01.09.2020,12:10:00,109152,115231,108057,109008,83
01.09.2020,12:11:00,112616,115292,107979,109710,90
01.09.2020,12:12:00,109700,115211,108309,114808,38
01.09.2020,12:13:00,112543,115244,108050,108485,40
01.09.2020,12:14:00,108391,115215,107933,110865,68
01.09.2020,12:15:00,109589,115263,107955,112211,66
01.09.2020,12:16:00,108243,115287,108231,109359,77
01.09.2020,12:17:00,114350,115169,107973,107973,90
01.09.2020,12:18:00,115278,115278,107914,111690,53
01.09.2020,12:19:00,113409,115082,107930,110514,73
01.09.2020,12:20:00,115166,115284,107999,115249,57
01.09.2020,12:21:00,110640,115153,107990,108042,38
01.09.2020,12:22:00,114706,115208,107929,110245,91
01.09.2020,12:23:00,112062,115198,107999,110725,12
01.09.2020,12:24:00,113968,115114,107985,109891,61
01.09.2020,12:25:00,115187,115275,107981,111994,32
01.09.2020,12:26:00,111624,115180,108175,109324,22
01.09.2020,12:27:00,112384,115297,107987,113506,48
01.09.2020,12:28:00,111376,115222,108140,108231,62
01.09.2020,12:29:00,109564,115286,108380,112801,63
01.09.2020,12:30:00,114391,115277,108339,108991,72
01.09.2020,12:31:00,110112,115202,108020,110317,36
01.09.2020,12:32:00,110723,115181,107922,109478,42
01.09.2020,12:33:00,111915,115287,107937,113357,20
01.09.2020,12:34:00,114564,115175,107913,108549,14
01.09.2020,12:35:00,113373,115273,108016,109378,10
01.09.2020,12:36:00,108210,115273,108043,114076,77
01.09.2020,12:37:00,114546,115268,108066,112348,84
01.09.2020,12:38:00,110074,115244,107912,110645,77
01.09.2020,12:39:00,114206,115206,107918,110932,34
01.09.2020,12:40:00,114038,115214,108098,108190,15
01.09.2020,12:41:00,110594,115249,108171,111028,43
01.09.2020,12:42:00,113140,115267,107912,109150,24
01.09.2020,12:43:00,109328,115221,107978,110132,95
01.09.2020,12:44:00,114067,115207,107983,114658,74
01.09.2020,12:45:00,114794,114946,107940,112442,21
01.09.2020,12:46:00,111366,115274,107908,113729,98
01.09.2020,12:47:00,111241,115231,107981,110897,35
01.09.2020,12:48:00,113864,115146,108201,111336,37
01.09.2020,12:49:00,114740,115202,108119,111606,70
01.09.2020,12:50:00,109285,114914,107913,109729,32
01.09.2020,12:51:00,113191,115217,107961,114883,86
01.09.2020,12:52:00,114943,115250,107938,111163,52
01.09.2020,12:53:00,109000,114907,108180,114063,62
01.09.2020,12:54:00,114371,115093,108095,114269,49
01.09.2020,12:55:00,115191,115191,108497,114462,64
01.09.2020,12:56:00,111976,115140,108075,111066,12
01.09.2020,12:57:00,108233,115186,107971,111863,61
01.09.2020,12:58:00,112447,115286,107962,110454,87
01.09.2020,12:59:00,110481,115287,107928,113113,85
01.09.2020,13:00:00,112560,115196,107951,110035,26
01.09.2020,13:01:00,110397,114908,107971,114093,43
01.09.2020,13:02:00,110931,115203,107906,109462,85
01.09.2020,13:03:00,113313,115226,107919,111837,91
01.09.2020,13:04:00,108329,115185,107933,109124,93
01.09.2020,13:05:00,113912,115109,107912,108913,22
01.09.2020,13:06:00,110070,115266,107935,110310,58
01.09.2020,13:07:00,108735,115259,108464,108787,89
01.09.2020,13:08:00,113824,115284,107920,113525,37
01.09.2020,13:09:00,112573,115132,107992,110425,6
01.09.2020,13:10:00,115174,115174,107933,113421,78
01.09.2020,13:11:00,110161,115260,107968,111539,84
01.09.2020,13:12:00,112391,115228,107950,110372,94
01.09.2020,13:13:00,110294,115223,107960,112723,83
01.09.2020,13:14:00,111006,115205,107919,109641,83
01.09.2020,13:15:00,114056,115085,108162,114216,27
01.09.2020,13:16:00,113306,115267,107902,115223,18
01.09.2020,13:17:00,113649,115296,108109,112018,50
01.09.2020,13:18:00,108437,114772,108055,108488,94
01.09.2020,13:19:00,111411,115139,108030,110765,71
01.09.2020,13:20:00,108904,115290,108065,113649,35
01.09.2020,13:21:00,114245,115276,108005,109283,64
01.09.2020,13:22:00,112370,115285,107980,114972,37
01.09.2020,13:23:00,114573,115128,108108,109430,22
01.09.2020,13:24:00,109828,115291,108023,109367,26
01.09.2020,13:25:00,112519,115192,108268,110050,63
01.09.2020,13:26:00,113168,115277,107995,113558,33
01.09.2020,13:27:00,109428,115299,108141,113579,60
01.09.2020,13:28:00,112174,115043,107921,112654,70
01.09.2020,13:29:00,108566,115251,107992,109971,94
01.09.2020,13:30:00,113779,115266,108381,110779,56
01.09.2020,13:31:00,109586,115260,108017,108710,86
01.09.2020,13:32:00,109348,115225,107950,113347,94
01.09.2020,13:33:00,108633,115094,107981,112108,60
01.09.2020,13:34:00,111980,115138,107907,109299,30
01.09.2020,13:35:00,111541,115293,108084,111002,80
01.09.2020,13:36:00,110853,115244,107961,110728,98
01.09.2020,13:37:00,110494,114939,107904,112084,33
01.09.2020,13:38:00,112384,115299,107961,107961,68
01.09.2020,13:39:00,114567,115272,107962,110825,84
01.09.2020,13:40:00,113594,115282,108065,113655,82
01.09.2020,13:41:00,108372,115289,108020,114267,45
01.09.2020,13:42:00,112912,115123,107953,109034,29
01.09.2020,13:43:00,108150,115068,107909,114222,97
01.09.2020,13:44:00,108201,115008,108129,113170,3
01.09.2020,13:45:00,109926,114825,107911,112430,57
01.09.2020,13:46:00,109342,115150,107949,110931,69
01.09.2020,13:47:00,111349,114880,107901,112103,48
01.09.2020,13:48:00,108068,115203,108019,108796,60
01.09.2020,13:49:00,109563,115258,108175,113608,69
01.09.2020,13:50:00,111618,115293,108042,115260,83
01.09.2020,13:51:00,110455,115280,107946,110984,2
01.09.2020,13:52:00,115018,115240,107900,114957,70
01.09.2020,13:53:00,111310,115205,107925,115144,6
01.09.2020,13:54:00,113492,115273,107943,114496,54
01.09.2020,13:55:00,114195,115280,107949,111040,11
01.09.2020,13:56:00,107956,115148,107956,110620,85
01.09.2020,13:57:00,111064,115280,108037,110951,46
01.09.2020,13:58:00,111047,115287,108246,111613,61
01.09.2020,13:59:00,109345,115139,107961,113233,63
01.09.2020,14:00:00,110299,114792,108212,111456,37
01.09.2020,14:01:00,110285,114907,107991,111414,81
01.09.2020,14:02:00,109674,115231,108203,114226,34
01.09.2020,14:03:00,114010,115147,107955,112847,8
01.09.2020,14:04:00,114324,115275,107957,109897,25
01.09.2020,14:05:00,111752,115004,107941,111217,82
01.09.2020,14:06:00,110789,114963,108173,114174,14
01.09.2020,14:07:00,112336,115296,108048,112086,89
01.09.2020,14:08:00,110232,115011,108014,111118,4
01.09.2020,14:09:00,110285,115211,108238,110220,86
01.09.2020,14:10:00,112074,115249,107959,108689,64
01.09.2020,14:11:00,114542,115221,107944,108782,3
01.09.2020,14:12:00,108093,115116,107922,109734,51
01.09.2020,14:13:00,112305,115236,108004,115049,86
01.09.2020,14:14:00,112506,115086,108122,112099,18
01.09.2020,14:15:00,111657,115182,107967,112906,14
01.09.2020,14:16:00,107958,115205,107934,113426,36
01.09.2020,14:17:00,112426,115284,108222,112202,96
01.09.2020,14:18:00,108126,115230,107910,108019,12
01.09.2020,14:19:00,114954,115123,108005,108802,83
01.09.2020,14:20:00,112028,115235,107904,109251,66
01.09.2020,14:21:00,110701,114961,107928,113621,76
01.09.2020,14:22:00,114156,114801,108175,108399,82
01.09.2020,14:23:00,111661,115243,107934,112782,48
01.09.2020,14:24:00,110770,114939,107934,108427,88
01.09.2020,14:25:00,108055,114914,107986,112250,72
01.09.2020,14:26:00,107939,115292,107939,113319,53
01.09.2020,14:27:00,113069,115106,108533,114795,59
01.09.2020,14:28:00,114519,115224,108095,113502,85
01.09.2020,14:29:00,112592,115146,107907,113502,49
01.09.2020,14:30:00,109859,115228,108231,109741,90
01.09.2020,14:31:00,114126,115276,108018,110410,61
01.09.2020,14:32:00,111401,115128,108036,113064,91
01.09.2020,14:33:00,109149,115110,108084,108382,55
01.09.2020,14:34:00,110071,114766,108119,113643,86
01.09.2020,14:35:00,115262,115262,107964,113910,44
01.09.2020,14:36:00,107948,115278,107911,108771,70
01.09.2020,14:37:00,112961,115115,107952,109575,88
01.09.2020,14:38:00,114284,115280,108138,115016,69
01.09.2020,14:39:00,112489,115187,108112,114188,30
01.09.2020,14:40:00,110151,115288,108462,112491,24
01.09.2020,14:41:00,113429,115286,107921,111461,86
01.09.2020,14:42:00,108155,115210,108155,108698,54
01.09.2020,14:43:00,108582,114411,108032,114366,58
01.09.2020,14:44:00,108726,115139,107987,108330,97
01.09.2020,14:45:00,112828,115268,108096,111854,69
01.09.2020,14:46:00,112448,115154,107936,109017,6
01.09.2020,14:47:00,110164,115245,108148,111762,75
01.09.2020,14:48:00,112640,115180,107960,108269,94
01.09.2020,14:49:00,108577,115134,108064,113983,64
01.09.2020,14:50:00,114152,115206,107934,109144,63
01.09.2020,14:51:00,108303,115246,107990,112311,72
01.09.2020,14:52:00,111347,115088,108334,112457,92
01.09.2020,14:53:00,111358,115206,108043,110162,62
01.09.2020,14:54:00,107919,115171,107919,110691,2
01.09.2020,14:55:00,113165,115212,108245,114674,1
01.09.2020,14:56:00,111169,115239,107962,108275,86
01.09.2020,14:57:00,108518,115257,107914,109310,29
01.09.2020,14:58:00,110411,115293,107945,109482,7
01.09.2020,14:59:00,108943,115284,107951,114790,65
01.09.2020,15:00:00,111320,115169,108167,112720,31
01.09.2020,15:01:00,109459,115151,107991,111709,71
01.09.2020,15:02:00,109755,115255,108079,109399,1
01.09.2020,15:03:00,114438,115271,107953,109510,56
01.09.2020,15:04:00,113594,115263,107946,114179,80
01.09.2020,15:05:00,113676,115286,108135,113898,22
01.09.2020,15:06:00,111189,115091,107904,112535,42
01.09.2020,15:07:00,112851,115157,108169,110659,71
01.09.2020,15:08:00,115049,115209,107911,112198,96
01.09.2020,15:09:00,114462,115155,107991,108470,9
01.09.2020,15:10:00,112126,115284,107968,110166,62
01.09.2020,15:11:00,115098,115098,108018,114541,87
01.09.2020,15:12:00,113083,115261,108053,114498,1
01.09.2020,15:13:00,108372,115294,108078,112278,22
01.09.2020,15:14:00,113811,115264,108150,113353,67
01.09.2020,15:15:00,115091,115091,108007,110111,69
01.09.2020,15:16:00,109198,115186,107920,112721,90
01.09.2020,15:17:00,111192,115114,108155,109752,82
01.09.2020,15:18:00,113028,115064,108026,112483,98
01.09.2020,15:19:00,111158,115067,108429,111182,89
01.09.2020,15:20:00,111612,115203,107948,114705,68
01.09.2020,15:21:00,111158,115073,107948,111735,57
01.09.2020,15:22:00,107984,115191,107907,110357,34
01.09.2020,15:23:00,111518,115262,107903,108579,11
01.09.2020,15:24:00,111922,115102,107966,114228,94
01.09.2020,15:25:00,108860,115257,108144,110592,30
01.09.2020,15:26:00,108820,115195,108105,109523,30
01.09.2020,15:27:00,110646,115243,108347,114508,4
01.09.2020,15:28:00,114899,115037,108028,111592,36
01.09.2020,15:29:00,108967,115178,108056,112750,84
01.09.2020,15:30:00,114568,115187,108224,111280,27
01.09.2020,15:31:00,110609,115265,107984,109544,26
01.09.2020,15:32:00,108457,114689,107987,108510,66
01.09.2020,15:33:00,112689,115179,107923,114858,50
01.09.2020,15:34:00,113753,115175,108120,111784,38
01.09.2020,15:35:00,109578,115268,108086,112010,54
01.09.2020,15:36:00,110738,114996,108192,112250,15
01.09.2020,15:37:00,112400,115273,107910,109011,45
01.09.2020,15:38:00,111719,115234,107935,112033,56
01.09.2020,15:39:00,112234,115279,108072,108494,29
01.09.2020,15:40:00,109719,115072,108021,113134,36
01.09.2020,15:41:00,108205,115244,107984,112404,30
01.09.2020,15:42:00,112619,115284,107953,112917,20
01.09.2020,15:43:00,109040,115096,108015,112312,15
01.09.2020,15:44:00,113061,115225,108069,108069,78
01.09.2020,15:45:00,110444,115227,107920,112630,63
01.09.2020,15:46:00,112713,115262,108034,112144,6
01.09.2020,15:47:00,111227,115297,108311,112903,4
01.09.2020,15:48:00,109726,115063,108458,112574,14
01.09.2020,15:49:00,108341,115247,107978,113531,20
01.09.2020,15:50:00,109508,114969,107912,108601,67
01.09.2020,15:51:00,108915,115144,107952,113147,66
01.09.2020,15:52:00,110777,115279,107990,111448,47
01.09.2020,15:53:00,111768,115256,107964,108304,37
01.09.2020,15:54:00,111800,115226,107916,112300,81
01.09.2020,15:55:00,108644,115174,107921,114114,25
01.09.2020,15:56:00,109011,115202,108169,113959,66
01.09.2020,15:57:00,113805,115157,108131,111936,1
01.09.2020,15:58:00,112890,115200,108059,111036,43
01.09.2020,15:59:00,112914,115246,108087,114211,58
01.09.2020,16:00:00,110614,115251,107928,110638,92
01.09.2020,16:01:00,114320,115209,107928,114059,12
01.09.2020,16:02:00,111105,115285,107947,108102,72
01.09.2020,16:03:00,113874,115277,108079,112617,59
01.09.2020,16:04:00,113270,114982,108368,110576,96
01.09.2020,16:05:00,112340,115291,107960,114245,36
01.09.2020,16:06:00,114361,115231,107932,114826,40
01.09.2020,16:07:00,109514,115268,107990,113684,13
01.09.2020,16:08:00,112511,115252,108012,112703,8
01.09.2020,16:09:00,113922,115100,107935,112597,98
01.09.2020,16:10:00,114740,114851,108271,113593,95
01.09.2020,16:11:00,114938,115285,107970,110804,79
01.09.2020,16:13:00,114257,115092,107966,109689,43
01.09.2020,16:15:00,112079,115141,107957,111095,55
01.09.2020,16:16:00,111930,115200,108086,113439,30
01.09.2020,16:17:00,110586,115278,107941,111605,60
01.09.2020,16:18:00,111628,115178,107996,114149,39
01.09.2020,16:19:00,112013,115243,108006,114772,74
01.09.2020,16:20:00,113493,115250,108099,109009,26
01.09.2020,16:21:00,113311,115215,108044,113439,76
01.09.2020,16:22:00,111242,115005,108230,110070,89
01.09.2020,16:23:00,108835,115281,108072,111024,95
01.09.2020,16:24:00,110899,115283,108433,111106,78
01.09.2020,16:25:00,113319,115257,107908,111135,32
01.09.2020,16:26:00,113990,115137,108173,109919,70
01.09.2020,16:27:00,114766,115201,107911,111550,51
01.09.2020,16:28:00,113939,115200,108417,111486,58
01.09.2020,16:29:00,110764,115022,108002,108417,92
01.09.2020,16:30:00,111593,115235,108008,113445,90
01.09.2020,16:31:00,109504,115077,108030,109338,37
01.09.2020,16:32:00,111652,115288,107941,111051,42
01.09.2020,16:33:00,114931,115297,107969,109994,45
01.09.2020,16:34:00,113801,115277,107909,114561,14
01.09.2020,16:35:00,115184,115230,108016,111561,43
01.09.2020,16:36:00,114070,115208,108080,112492,11
01.09.2020,16:37:00,110197,114918,107958,113257,71
01.09.2020,16:38:00,111395,115271,107908,109980,12
01.09.2020,16:39:00,108518,115093,108021,113488,90
01.09.2020,16:40:00,113420,115272,107918,108696,98
01.09.2020,16:41:00,110174,115288,107909,110543,6
01.09.2020,16:42:00,114492,115297,108216,108216,80
01.09.2020,16:43:00,109172,115274,107907,114623,49
01.09.2020,16:44:00,111713,115251,107936,113397,38
01.09.2020,16:46:00,110572,115122,108054,112830,44
01.09.2020,16:47:00,108151,115186,107951,111211,14
01.09.2020,16:48:00,110452,115220,108071,111061,14
01.09.2020,16:49:00,108381,115293,107917,108344,24
01.09.2020,16:50:00,108492,114861,107972,110826,76
01.09.2020,16:51:00,114083,114792,107916,113951,9
01.09.2020,16:52:00,113211,115245,108066,112121,77
01.09.2020,16:53:00,112931,115284,107950,110232,60
01.09.2020,16:54:00,112832,115227,107953,111084,88
01.09.2020,16:55:00,110253,114960,107920,109555,80
01.09.2020,16:56:00,109316,115199,108040,109244,24
01.09.2020,16:57:00,107944,115267,107944,111040,97
01.09.2020,16:58:00,114452,115296,108037,108524,89
01.09.2020,16:59:00,110287,115058,108123,108285,42
01.09.2020,17:00:00,110832,115262,107921,114690,74
01.09.2020,17:01:00,111555,115270,108032,110584,27
01.09.2020,17:02:00,111827,115155,108008,111527,68
01.09.2020,17:03:00,114682,115224,107900,110694,21
01.09.2020,17:04:00,112871,115111,107930,111485,49
01.09.2020,17:05:00,111170,115141,107920,109947,51
01.09.2020,17:06:00,108771,115156,108224,111140,68
01.09.2020,17:07:00,112113,115299,108072,108470,60
01.09.2020,17:08:00,112630,115290,108357,113253,19
01.09.2020,17:09:00,112544,115227,107900,109018,46
01.09.2020,17:10:00,113066,115209,108035,108225,40
01.09.2020,17:11:00,112811,114889,107903,112652,68
01.09.2020,17:12:00,111698,115149,108105,112432,94
01.09.2020,17:13:00,111175,115274,108091,111910,71
01.09.2020,17:14:00,113278,115163,108006,114280,24
01.09.2020,17:15:00,114641,115272,108162,113918,6
01.09.2020,17:16:00,110709,115248,108059,113083,73
01.09.2020,17:17:00,114409,115193,108063,109013,96
01.09.2020,17:18:00,114851,115121,108038,112945,41
01.09.2020,17:19:00,115157,115212,107988,111583,2
01.09.2020,17:20:00,107926,115241,107926,111288,4
01.09.2020,17:21:00,108292,115190,107929,108455,50
01.09.2020,17:22:00,109477,115251,107959,115183,29
01.09.2020,17:23:00,114531,115247,108025,112835,25
01.09.2020,17:24:00,108841,115270,108199,114983,19
01.09.2020,17:25:00,111463,115297,107932,112395,82
01.09.2020,17:26:00,110222,115121,107941,111577,51
01.09.2020,17:27:00,110477,115243,107946,112717,9
01.09.2020,17:28:00,114886,115275,107978,112454,40
01.09.2020,17:29:00,114036,115249,107997,113625,66
01.09.2020,17:30:00,111188,115274,108025,111373,24
01.09.2020,17:31:00,110444,115259,108074,108996,4
01.09.2020,17:32:00,108630,115299,107924,114102,83
01.09.2020,17:33:00,109523,115233,107959,113193,47
01.09.2020,17:34:00,113211,115132,108061,108275,70
01.09.2020,17:35:00,108854,115296,108251,112130,79
01.09.2020,17:36:00,114247,115203,107970,113732,53
01.09.2020,17:37:00,110937,115250,108071,109213,46
01.09.2020,17:38:00,109841,115249,108014,113608,86
01.09.2020,17:39:00,107938,115037,107930,111776,69
01.09.2020,17:40:00,115252,115252,107953,114609,95
01.09.2020,17:41:00,111403,115294,107939,115098,54
01.09.2020,17:42:00,107945,115219,107945,110109,57
01.09.2020,17:43:00,112854,115255,107990,110173,8
01.09.2020,17:44:00,109421,115195,108033,108672,34
01.09.2020,17:45:00,108685,115142,107905,107906,61
01.09.2020,17:46:00,115066,115066,108043,111433,31
01.09.2020,17:47:00,113720,115242,107926,108733,65
01.09.2020,17:48:00,112518,115249,108022,113333,87
01.09.2020,17:49:00,112851,114983,107970,111547,22
01.09.2020,17:50:00,112972,115280,107952,114769,98
01.09.2020,17:51:00,111362,115289,108013,110051,91
01.09.2020,17:52:00,115022,115259,107935,113404,74
01.09.2020,17:53:00,112826,115121,107951,111368,68
01.09.2020,17:54:00,109481,115128,108089,110372,84
01.09.2020,17:55:00,108804,115298,108141,114297,26
01.09.2020,17:56:00,111859,115283,107905,114558,11
01.09.2020,17:57:00,112126,115215,107968,110537,81
01.09.2020,17:58:00,113216,115093,107997,114471,18
01.09.2020,17:59:00,108239,114652,108239,112325,93
01.09.2020,18:00:00,113215,115242,108028,114916,79
01.09.2020,18:01:00,114109,115167,107965,114956,22
01.09.2020,18:02:00,112386,115250,107976,114215,64
01.09.2020,18:03:00,115117,115292,108289,114872,79
01.09.2020,18:04:00,115070,115272,107953,108824,93
01.09.2020,18:05:00,112796,115271,107940,108816,81
01.09.2020,18:06:00,112234,115213,107984,113448,44
01.09.2020,18:07:00,110211,115268,107962,112378,84
01.09.2020,18:08:00,109426,115190,107981,110247,84
01.09.2020,18:09:00,113594,115051,107902,108493,26
01.09.2020,18:10:00,108476,115269,108156,109278,49
01.09.2020,18:11:00,112655,115229,107961,108264,72
01.09.2020,18:12:00,109494,115201,107999,110322,62
01.09.2020,18:13:00,114085,115007,107912,113184,98
01.09.2020,18:14:00,111067,115123,107901,114173,93
01.09.2020,18:15:00,110936,115272,108104,110972,55
01.09.2020,18:16:00,108522,114936,108020,112738,88
01.09.2020,18:17:00,115099,115099,107907,108678,40
01.09.2020,18:18:00,108462,115239,107916,109867,98
01.09.2020,18:19:00,111529,115088,107942,111101,12
01.09.2020,18:20:00,113689,115205,107900,112926,33
01.09.2020,18:21:00,114193,114972,107917,114903,18
01.09.2020,18:22:00,112828,115257,108048,113281,66
01.09.2020,18:23:00,108424,115298,108003,113455,12
01.09.2020,18:24:00,108070,115226,108070,112319,78
01.09.2020,18:25:00,110825,115145,107913,110931,87
01.09.2020,18:26:00,115013,115223,108011,110696,71
01.09.2020,18:27:00,111627,115165,107951,110436,11
01.09.2020,18:28:00,110387,115255,107967,110905,45
01.09.2020,18:29:00,115288,115288,107969,112316,34
01.09.2020,18:30:00,109409,115182,107915,115150,77
01.09.2020,18:31:00,110807,115269,107993,111077,3
01.09.2020,18:32:00,114209,115165,107922,114242,34
01.09.2020,18:33:00,110969,115236,108158,114277,15
01.09.2020,18:34:00,110848,115017,108010,109143,55
01.09.2020,18:35:00,111626,115260,107912,113033,62
01.09.2020,18:36:00,110655,115288,107920,110602,12
01.09.2020,18:37:00,114445,115212,107960,113307,88
